dataset,comparison,mean_a,mean_b,delta,n_pairs,wilcoxon_p,wilcoxon_p_fdr
all_modalities,channel vs none,0.7347304894179895,0.6978091931216932,0.03692129629629626,16,0.0895601420991665,0.537360852594999
all_modalities,spatial vs none,0.6964533730158731,0.6978091931216932,-0.001355820105820138,16,0.7384935584158605,0.8517946787824907
all_modalities,channel vs spatial,0.7347304894179895,0.6964533730158731,0.038277116402116396,16,0.19596789761892053,0.6057473586920699
nonPET,channel vs none,0.7053902116402118,0.7057870370370372,-0.0003968253968253954,16,0.2271552595095262,0.6057473586920699
nonPET,spatial vs none,0.7116815476190477,0.7057870370370372,0.005894510582010515,16,0.7087247125774263,0.8517946787824907
nonPET,channel vs spatial,0.7053902116402118,0.7116815476190477,-0.00629133597883591,16,0.2271552595095262,0.6057473586920699
standard_MRI,channel vs none,0.7778604497354498,0.6185846560846561,0.1592757936507937,16,0.008911609590289147,0.21387863016693953
standard_MRI,spatial vs none,0.6560185185185186,0.6185846560846561,0.037433862433862486,16,0.7038060053656379,0.8517946787824907
standard_MRI,channel vs spatial,0.7778604497354498,0.6560185185185186,0.12184193121693121,16,0.028724858794455063,0.34469830553346076
standard_MRI_PET,channel vs none,0.7764715608465609,0.7258515211640212,0.0506200396825397,16,0.29042566770332057,0.6345122462533889
standard_MRI_PET,spatial vs none,0.7501405423280424,0.7258515211640212,0.024289021164021207,16,0.880758697629054,0.8807586976290539
standard_MRI_PET,channel vs spatial,0.7764715608465609,0.7501405423280424,0.02633101851851849,16,0.32214992315509094,0.6442998463101819
PET,channel vs none,0.753629298941799,0.7687169312169313,-0.015087632275132323,16,0.5043264757421705,0.8517946787824907
PET,spatial vs none,0.7288855820105821,0.7687169312169313,-0.03983134920634923,16,0.14374779490908912,0.6057473586920699
PET,channel vs spatial,0.753629298941799,0.7288855820105821,0.024743716931216908,16,0.4359910027501389,0.8049064666156411
ADC_FET,channel vs none,0.7353257275132276,0.7547536375661376,-0.019427910052910002,16,0.5589857268413584,0.8517946787824907
ADC_FET,spatial vs none,0.6984540343915344,0.7547536375661376,-0.05629960317460314,16,0.7808117888839499,0.8517946787824907
ADC_FET,channel vs spatial,0.7353257275132276,0.6984540343915344,0.03687169312169314,16,0.7518712915784787,0.8517946787824907
diffusion,channel vs none,0.6592897842897844,0.6348697598697599,0.024420024420024444,13,0.7386234588500946,0.8517946787824907
diffusion,spatial vs none,0.6918342151675485,0.661331569664903,0.030502645502645476,15,0.29081811286613657,0.6345122462533889
diffusion,channel vs spatial,0.6592897842897844,0.6700651200651202,-0.010775335775335848,13,0.8324675470941445,0.8686617882721508
perfusion,channel vs none,0.7084821428571428,0.6569196428571429,0.051562499999999956,16,0.577927266220702,0.8517946787824907
perfusion,spatial vs none,0.7433531746031746,0.6569196428571429,0.08643353174603174,16,0.20063158436490924,0.6057473586920699
perfusion,channel vs spatial,0.7084821428571428,0.7433531746031746,-0.03487103174603179,16,0.08215410154613356,0.537360852594999
